vente_article_id;contrat_num;article_type_code;reference_article_magasin;prix_vente_final;qte_vente;taux_commission;prix_net_deposant;magasin_code;vente_num;prix_vente_total;date_cloture_vente;date_reglement;reglement_deposant_id;prix_reglee;prix_deposant;prix_com;taux_assurance;contact_num;taux_tva;prix_a_reglee;reglee;libelle;STATUS
D33LAT-154634;000411;DEPOT;000411-2;15;1;0.5;0;D33LAT;0000002774;15;20151015;20151115;1510251217681;0;7.5;7.5;0;D33LATLA50706;0.2;15;0;Chaise merisier assise velour vert ;C
D33LAT-154641;000427;DEPOT;000427-24;11;1;0.38;0;D33LAT;0000002779;11;20151015;20151115;1510251217698;0;6.82;4.18;0;D33LAT-10600207;0.2;11;0;D210-matelas animaux n3;C
D33LAT-154643;000329;DEPOT;000329-1;10;1;0.5;0;D33LAT;0000002780;10;20151015;20151115;1510251217169;0;5;5;0;D33LAT-10301175;0.2;10;0;Lampe pied metal abj beige;C
D33LAT-154645;000401;DEPOT;000401-10;8;1;0.2;0;D33LAT;0000002782;8;20151015;20151115;1510251217521;0;6.4;1.6;0;D33LAT-19800369;0.2;8;0;Lot de plats bleu/blanc;C
D33LAT-154649;000427;DEPOT;000427-39;3;1;0.38;0;D33LAT;0000002785;3;20151015;20151115;1510251217698;0;1.86;1.14;0;D33LAT-10600207;0.2;3;0;E428 porte rouleaux;C
D33LAT-154652;000427;DEPOT;000427-24;11;1;0.38;0;D33LAT;0000002787;11;20151015;20151115;1510251217698;0;6.82;4.18;0;D33LAT-10600207;0.2;11;0;D210-matelas animaux n3;C
D33LAT-154653;000427;DEPOT;000427-22;5;1;0.38;0;D33LAT;0000002787;5;20151015;20151115;1510251217698;0;3.1;1.9;0;D33LAT-10600207;0.2;5;0;D208-matelas animax n1;C
D33LAT-154657;1502699;DEPOT;11513017;175;1;0.478571;0;D33LAT;0000002788;175;20151015;20151115;15102512171192;0;91.25;83.75;0;D33LAT-10801405;0.2;175;0;ENFILADE MERISIER 3P3T ST LXVI;C
D33LAT-154658;000427;DEPOT;000427-32;3.5;1;0.38;0;D33LAT;0000002789;3.5;20151015;20151115;1510251217698;0;2.17;1.33;0;D33LAT-10600207;0.2;3.5;0;D435-moule à tarte;C
D33LAT-154660;1502153;DEPOT;11510429;4.4;1;0.4;0;D33LAT;0000002790;4.4;20151015;20151115;1510251217680;0;2.64;1.76;0;D33LAT-11300406;0.2;4.4;0;COUTEAU TIRE BOUCHONS ;C
D33LAT-154661;1501324;DEPOT;11506304;7.5;1;0.5;0;D33LAT;0000002791;7.5;20151015;20151115;1510251217424;0;3.75;3.75;0;D33LAT-11400164;0.2;7.5;0;MODELES REDUITS MERCEDES 500 SL;C
D33LAT-154662;1501324;DEPOT;11506307;8.75;1;0.5;0;D33LAT;0000002791;8.75;20151015;20151115;1510251217424;0;4.38;4.38;0;D33LAT-11400164;0.2;8.75;0;MODELES REDUITS MERCEDES BENZ 300 SL;C
D33LAT-154663;1502331;DEPOT;11511174;10.5;1;0.4;0;D33LAT;0000002792;10.5;20151015;20151115;1510251217279;0;5.4;3.6;0;D33LAT-11300406;0.2;9;0;LAMPE DE BUREAU GRIS ;C
D33LAT-154664;1501976;DEPOT;11509572;41.25;1;0.5;0;D33LAT;0000002793;41.25;20151015;20151115;15102512171070;0;20.63;20.63;0;D33LAT-11100920;0.2;41.25;0;TABLE RONDE PIN DIAM 105+1ALL;C
D33LAT-154667;1501370;DEPOT;11506555;3.75;2;0.4;0;D33LAT;0000002795;7.5;20151015;20151115;1510251217301;0;4.5;3;0;D33LAT-11200973;0.2;7.5;0;CADRE TOUR DORE FLEURS ;C
D33LAT-154668;1500687;DEPOT;11503470;1;1;0.5;0;D33LAT;0000002795;1;20151015;20151115;15102512171191;0;0.5;0.5;0;D33LAT-10800754;0.2;1;0;CADRE DORE PENTURE SUR SOIE;C
D33LAT-154669;000123;DEPOT;000123-2;60;1;0.5;0;D33LAT;0000002796;60;20151015;20151115;15102512171054;0;30;30;0;D33LAT-11400447;0.2;60;0;Chevet merisier 1p;C
D33LAT-154670;1501588;DEPOT;11507635;25;1;0.01;0;D33LAT;0000002797;25;20151015;20151115;1510251217580;0;24.75;0.25;0;D33LAT-11300098;0.2;25;0;49 LAMPE DONUT MIROIR ;C
D33LAT-154671;1501588;DEPOT;11507616;12;1;0.01;0;D33LAT;0000002797;12;20151015;20151115;1510251217580;0;11.88;0.12;0;D33LAT-11300098;0.2;12;0;9-11 PLATEAU SCULPTE MM;C
D33LAT-154673;1502851;DEPOT;11513712;297.5;1;0.470408;0;D33LAT;0000002799;297.5;20151015;20151115;15102512171326;0;129.75;115.25;0;D33LAT-11500678;0.2;245;0;TABLE 130*130 +1 ALL INT 60;C
D33LAT-154674;000361;DEPOT;000361-3;30;1;0.5;0;D33LAT;0000002799;30;20151015;20151115;15102512171190;0;15;15;0;D33LAT-10101195;0.2;30;0;Lampe bois/pierre abj blanc ;C
